,place_name,date_cate,income,num_date,num_plus_day,num_minus_day
0,amagasaki,first,25500.0,21,14.286,71.429
1,amagasaki,last,-2100.0,21,14.286,76.19
2,amagasaki,other,120500.0,75,13.333,68.0
3,asiya,first,8200.0,21,14.286,71.429
4,asiya,last,-64000.0,21,0.0,71.429
5,asiya,other,110200.0,76,21.053,65.789
6,biwako,first,-37000.0,18,5.556,94.444
7,biwako,last,-15600.0,18,16.667,77.778
8,biwako,other,-113100.0,68,4.412,86.765
9,edogawa,first,22200.0,19,10.526,26.316
10,edogawa,last,-23400.0,19,15.789,42.105
11,edogawa,other,87000.0,68,13.235,50.0
12,fukuoka,first,-12400.0,17,17.647,52.941
13,fukuoka,last,-43000.0,17,0.0,82.353
14,fukuoka,other,-60300.0,66,9.091,78.788
15,gamagori,first,-44600.0,21,9.524,90.476
16,gamagori,last,-45000.0,21,19.048,71.429
17,gamagori,other,-114800.0,78,12.821,84.615
18,hamanako,first,177000.0,22,18.182,72.727
19,hamanako,last,10800.0,22,4.545,81.818
20,hamanako,other,34700.0,76,10.526,82.895
21,heiwazima,first,84400.0,16,18.75,68.75
22,heiwazima,last,61800.0,16,37.5,43.75
23,heiwazima,other,-110100.0,54,16.667,77.778
24,karatu,first,-41400.0,23,26.087,65.217
25,karatu,last,-12900.0,23,17.391,65.217
26,karatu,other,-86000.0,80,20.0,76.25
27,kiryu,first,-27000.0,19,0.0,63.158
28,kiryu,last,-6100.0,19,5.263,84.211
29,kiryu,other,-22100.0,70,5.714,60.0
30,kozima,first,-137300.0,21,14.286,76.19
31,kozima,last,-63600.0,21,19.048,76.19
32,kozima,other,-2700.0,79,26.582,70.886
33,marugame,first,-4500.0,23,4.348,26.087
34,marugame,last,10000.0,23,4.348,21.739
35,marugame,other,-8700.0,84,5.952,25.0
36,mikuni,first,-4500.0,18,11.111,55.556
37,mikuni,last,-50000.0,18,0.0,66.667
38,mikuni,other,152500.0,70,10.0,51.429
39,miyazima,first,-61000.0,22,4.545,86.364
40,miyazima,last,-19400.0,22,18.182,63.636
41,miyazima,other,-137500.0,79,11.392,82.278
42,naruto,first,14000.0,18,11.111,77.778
43,naruto,last,72600.0,18,38.889,55.556
44,naruto,other,174500.0,57,19.298,73.684
45,simonoseki,first,49000.0,18,11.111,38.889
46,simonoseki,last,-22500.0,18,5.556,61.111
47,simonoseki,other,-28600.0,64,3.125,53.125
48,suminoe,first,-4000.0,20,0.0,20.0
49,suminoe,last,3100.0,20,10.0,25.0
50,suminoe,other,-2500.0,73,5.479,26.027
51,tamagawa,first,42600.0,21,19.048,57.143
52,tamagawa,last,-30100.0,21,9.524,80.952
53,tamagawa,other,-58300.0,70,12.857,75.714
54,toda,first,71000.0,21,9.524,85.714
55,toda,last,77600.0,21,19.048,66.667
56,toda,other,500.0,66,13.636,80.303
57,tokoname,first,-71400.0,25,8.0,80.0
58,tokoname,last,-96200.0,25,12.0,76.0
59,tokoname,other,-170700.0,70,12.857,74.286
60,tokuyama,first,-27500.0,20,25.0,65.0
61,tokuyama,last,282700.0,20,30.0,70.0
62,tokuyama,other,-148400.0,80,28.75,70.0
63,tu,first,-21300.0,14,7.143,64.286
64,tu,last,-34000.0,14,0.0,85.714
65,tu,other,-113300.0,55,3.636,76.364
66,wakamatu,first,-21700.0,20,20.0,55.0
67,wakamatu,last,-42400.0,20,10.0,65.0
68,wakamatu,other,-160300.0,73,9.589,73.973
