,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
2,1.0,5.0,186.0,0.9,53380.0,44200.0,298.0,442.0,120.76923076923076,14.93212669683258,66.0,0.4666728031015301,0.15641565193515097,0.6230884550366811,42.0
5,2.0,5.0,140.0,0.85,81320.0,64700.0,224.0,647.0,125.68778979907265,9.428129829984544,61.0,0.4657733365350121,0.6154416994078628,1.0812150359428747,19.0
74,4.0,5.0,202.0,0.92,60840.0,31500.0,114.0,315.0,193.1428571428572,8.88888888888889,28.0,0.1605036329928525,2.9958587001712016,3.1563623331640542,50.0
226,6.0,5.0,240.0,0.92,45580.0,25600.0,188.0,256.0,178.046875,11.328125,29.0,-1.2789788949994891,3.5867599447764875,2.3077810497769984,69.0
279,7.0,8.0,238.0,0.92,29820.0,24000.0,112.0,240.0,124.25,8.75,21.0,0.14002800840280097,0.12489994811921835,0.26492795652201934,68.0
289,8.0,8.0,176.0,0.85,84490.0,56900.0,84.0,569.0,148.48857644991213,5.975395430579964,34.0,1.4651549744395458,3.2746493804113275,4.7398043548508735,37.0
300,9.0,5.0,252.0,0.92,27420.0,22800.0,122.0,228.0,120.26315789473684,8.333333333333332,19.0,,1.0,,75.0
305,12.0,5.0,248.0,0.92,37780.0,26700.0,56.0,267.0,141.49812734082397,6.741573033707865,18.0,0.7206339602884597,1.2187082518245578,1.9393422121130175,73.0
308,14.0,8.0,254.0,0.9,17510.0,13700.0,48.0,137.0,127.81021897810218,6.569343065693431,9.0,-1.0,0.9999999999999976,-2.4424906541753444e-15,76.0
318,21.0,5.0,116.0,0.92,79480.0,56800.0,111.0,568.0,139.92957746478874,5.633802816901409,32.0,1.2374948760083875,1.9841606829289054,3.221655558937293,7.0
363,22.0,8.0,144.0,0.85,121310.0,66100.0,113.0,661.0,183.5249621785174,6.202723146747353,41.0,2.8217952064913607,1.9426311833342227,4.764426389825584,21.0
402,23.0,5.0,252.0,0.9,40500.0,23400.0,55.0,234.0,173.0769230769231,5.555555555555555,13.0,0.9045340337332909,0.4207165170059773,1.3252505507392682,75.0
