,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,148.0,0.92,15340.0,21300.0,139.0,213.0,72.01877934272301,11.737089201877934,25.0
1,3.0,8.0,242.0,0.9,10730.0,11700.0,86.0,117.0,91.7094017094017,10.256410256410255,12.0
2,4.0,5.0,132.0,0.85,32220.0,39400.0,42.0,394.0,81.7766497461929,4.568527918781726,18.0
3,5.0,5.0,190.0,0.92,4610.0,13700.0,88.0,137.0,33.64963503649635,3.64963503649635,5.0
4,8.0,8.0,186.0,0.92,15130.0,19500.0,41.0,195.0,77.58974358974359,4.102564102564102,8.0
5,12.0,8.0,252.0,0.9,4960.0,9800.0,39.0,98.0,50.61224489795918,4.081632653061225,4.0
6,13.0,8.0,252.0,0.92,16360.0,12400.0,53.0,124.0,131.93548387096774,8.064516129032258,10.0
7,17.0,5.0,128.0,0.9,18790.0,16100.0,23.0,161.0,116.7080745341615,5.590062111801243,9.0
8,21.0,5.0,156.0,0.9,17670.0,20800.0,34.0,208.0,84.95192307692308,5.288461538461538,11.0
9,22.0,8.0,244.0,0.85,23690.0,14800.0,28.0,148.0,160.06756756756758,4.72972972972973,7.0
10,26.0,8.0,236.0,0.9,0.0,5600.0,12.0,56.0,0.0,0.0,0.0
